cards unseen: 26
running count	true count	EV		frequency
-25		-50.0   	-0.87560	1e-06
-24		-48.0   	-0.86068	2e-06
-23		-46.0   	-0.84444	4e-06
-22		-44.0   	-0.82685	9e-06
-21		-42.0   	-0.80787	1.9e-05
-20		-40.0   	-0.78749	3.9e-05
-19		-38.0   	-0.76560	7.9e-05
-18		-36.0   	-0.74219	0.000154
-17		-34.0   	-0.71726	0.00029
-16		-32.0   	-0.69073	0.000529
-15		-30.0   	-0.66265	0.000936
-14		-28.0   	-0.63296	0.001603
-13		-26.0   	-0.60168	0.002658
-12		-24.0   	-0.56884	0.004266
-11		-22.0   	-0.53444	0.006627
-10		-20.0   	-0.49857	0.009958
-9		-18.0   	-0.46126	0.014471
-8		-16.0   	-0.42251	0.020327
-7		-14.0   	-0.38254	0.027583
-6		-12.0   	-0.34133	0.036137
-5		-10.0   	-0.29902	0.045675
-4		-8.0    	-0.25580	0.055653
-3		-6.0    	-0.21173	0.065309
-2		-4.0    	-0.16708	0.073737
-1		-2.0    	-0.12194	0.080005
0		0.0     	-0.07655	0.083308
1		2.0     	-0.03112	0.083126
2		4.0     	0.014094	0.079346
3		6.0     	0.058866	0.07231
4		8.0     	0.102941	0.062774
5		10.0    	0.146114	0.05178
6		12.0    	0.188057	0.040463
7		14.0    	0.228647	0.029852
8		16.0    	0.267679	0.020711
9		18.0    	0.305112	0.013449
10		20.0    	0.341069	0.008131
11		22.0    	0.375919	0.004547
12		24.0    	0.410359	0.002335
13		26.0    	0.445783	0.001091
14		28.0    	0.484241	0.000459
15		30.0    	0.528644	0.000172
16		32.0    	0.582436	5.7e-05
17		34.0    	0.649102	1.6e-05
18		36.0    	0.731758	4e-06
19		38.0    	0.832659	1e-06
