cards unseen: 104
running count	true count	EV		frequency
-41		-20.5   	-0.49762	1e-06
-40		-20.0   	-0.48840	1e-06
-39		-19.5   	-0.47905	2e-06
-38		-19.0   	-0.46966	3e-06
-37		-18.5   	-0.46019	6e-06
-36		-18.0   	-0.45068	9e-06
-35		-17.5   	-0.44108	1.4e-05
-34		-17.0   	-0.43145	2.2e-05
-33		-16.5   	-0.42173	3.5e-05
-32		-16.0   	-0.41193	5.3e-05
-31		-15.5   	-0.40209	7.9e-05
-30		-15.0   	-0.39221	0.000118
-29		-14.5   	-0.38225	0.000173
-28		-14.0   	-0.37224	0.000251
-27		-13.5   	-0.36220	0.000359
-26		-13.0   	-0.35207	0.000507
-25		-12.5   	-0.34190	0.000708
-24		-12.0   	-0.3317 	0.000976
-23		-11.5   	-0.32145	0.001328
-22		-11.0   	-0.31111	0.001785
-21		-10.5   	-0.30078	0.00237
-20		-10.0   	-0.29037	0.003106
-19		-9.5    	-0.27995	0.00402
-18		-9.0    	-0.26946	0.005138
-17		-8.5    	-0.25896	0.006484
-16		-8.0    	-0.24842	0.00808
-15		-7.5    	-0.23781	0.00994
-14		-7.0    	-0.22723	0.012074
-13		-6.5    	-0.21657	0.01448
-12		-6.0    	-0.20587	0.017143
-11		-5.5    	-0.19517	0.020037
-10		-5.0    	-0.18446	0.023118
-9		-4.5    	-0.17368	0.026329
-8		-4.0    	-0.16294	0.029598
-7		-3.5    	-0.15212	0.032839
-6		-3.0    	-0.14133	0.035959
-5		-2.5    	-0.13051	0.038858
-4		-2.0    	-0.11964	0.041437
-3		-1.5    	-0.10882	0.0436
-2		-1.0    	-0.09795	0.045263
-1		-0.5    	-0.08709	0.046358
0		0.0     	-0.07622	0.046838
1		0.5     	-0.06536	0.046678
2		1.0     	-0.05445	0.045882
3		1.5     	-0.04359	0.044476
4		2.0     	-0.03272	0.042514
5		2.5     	-0.02186	0.040069
6		3.0     	-0.01099	0.03723
7		3.5     	-0.00017	0.0341
8		4.0     	0.010691	0.030783
9		4.5     	0.021474	0.027386
10		5.0     	0.032298	0.024006
11		5.5     	0.043081	0.020733
12		6.0     	0.053823	0.017638
13		6.5     	0.064565	0.014778
14		7.0     	0.075266	0.012193
15		7.5     	0.085967	0.009904
16		8.0     	0.096627	0.007919
17		8.5     	0.107246	0.006232
18		9.0     	0.117824	0.004826
19		9.5     	0.128361	0.003676
20		10.0    	0.138898	0.002754
21		10.5    	0.149353	0.002029
22		11.0    	0.159767	0.001469
23		11.5    	0.170181	0.001046
24		12.0    	0.180513	0.000731
25		12.5    	0.190804	0.000502
26		13.0    	0.201054	0.000339
27		13.5    	0.211222	0.000224
28		14.0    	0.22139 	0.000146
29		14.5    	0.231476	9.3e-05
30		15.0    	0.24148 	5.8e-05
31		15.5    	0.251484	3.6e-05
32		16.0    	0.261406	2.1e-05
33		16.5    	0.271287	1.3e-05
34		17.0    	0.281127	7e-06
35		17.5    	0.290885	4e-06
36		18.0    	0.300643	2e-06
37		18.5    	0.310319	1e-06
38		19.0    	0.319954	1e-06
