cards unseen: 260
running count	true count	EV		frequency
-43		-8.6    	-0.26544	1e-06
-42		-8.4    	-0.26089	1e-06
-41		-8.2    	-0.25634	2e-06
-40		-8.0    	-0.25179	4e-06
-39		-7.8    	-0.24724	6e-06
-38		-7.6    	-0.24273	1e-05
-37		-7.4    	-0.23822	1.5e-05
-36		-7.2    	-0.23375	2.4e-05
-35		-7.0    	-0.22924	3.6e-05
-34		-6.8    	-0.22477	5.5e-05
-33		-6.6    	-0.22030	8.2e-05
-32		-6.4    	-0.21587	0.00012
-31		-6.2    	-0.21140	0.000175
-30		-6.0    	-0.20697	0.00025
-29		-5.8    	-0.20255	0.000354
-28		-5.6    	-0.19812	0.000494
-27		-5.4    	-0.19369	0.000681
-26		-5.2    	-0.18926	0.000927
-25		-5.0    	-0.18483	0.001245
-24		-4.8    	-0.18045	0.001652
-23		-4.6    	-0.17606	0.002165
-22		-4.4    	-0.17167	0.002802
-21		-4.2    	-0.16729	0.003583
-20		-4.0    	-0.16290	0.004526
-19		-3.8    	-0.15851	0.005648
-18		-3.6    	-0.15412	0.006965
-17		-3.4    	-0.14978	0.008486
-16		-3.2    	-0.14539	0.010219
-15		-3.0    	-0.14105	0.012161
-14		-2.8    	-0.13670	0.014304
-13		-2.6    	-0.13231	0.01663
-12		-2.4    	-0.12797	0.019112
-11		-2.2    	-0.12362	0.021712
-10		-2.0    	-0.11927	0.024385
-9		-1.8    	-0.11493	0.027077
-8		-1.6    	-0.11062	0.029726
-7		-1.4    	-0.10628	0.032268
-6		-1.2    	-0.10193	0.034636
-5		-1.0    	-0.09763	0.036762
-4		-0.8    	-0.09328	0.038586
-3		-0.6    	-0.08898	0.040052
-2		-0.4    	-0.08463	0.041115
-1		-0.2    	-0.08032	0.041742
0		0.0     	-0.07602	0.041914
1		0.2     	-0.07167	0.041627
2		0.4     	-0.06737	0.040891
3		0.6     	-0.06306	0.039731
4		0.8     	-0.05876	0.038186
5		1.0     	-0.05445	0.036303
6		1.2     	-0.05015	0.03414
7		1.4     	-0.04584	0.031759
8		1.6     	-0.04154	0.029226
9		1.8     	-0.03723	0.026606
10		2.0     	-0.03293	0.02396
11		2.2     	-0.02866	0.021346
12		2.4     	-0.02436	0.018813
13		2.6     	-0.02005	0.016403
14		2.8     	-0.01579	0.014149
15		3.0     	-0.01149	0.012073
16		3.2     	-0.00722	0.010192
17		3.4     	-0.00292	0.008512
18		3.6     	0.001343	0.007033
19		3.8     	0.005648	0.005748
20		4.0     	0.009912	0.004648
21		4.2     	0.014217	0.003718
22		4.4     	0.018481	0.002942
23		4.6     	0.022745	0.002303
24		4.8     	0.027009	0.001784
25		5.0     	0.031314	0.001366
26		5.2     	0.035578	0.001036
27		5.4     	0.039842	0.000776
28		5.6     	0.044106	0.000576
29		5.8     	0.04837 	0.000422
30		6.0     	0.052634	0.000306
31		6.2     	0.056898	0.00022
32		6.4     	0.061162	0.000156
33		6.6     	0.065426	0.00011
34		6.8     	0.06969 	7.6e-05
35		7.0     	0.073913	5.2e-05
36		7.2     	0.078177	3.5e-05
37		7.4     	0.082441	2.4e-05
38		7.6     	0.086705	1.6e-05
39		7.8     	0.090928	1e-05
40		8.0     	0.095192	7e-06
41		8.2     	0.099415	4e-06
42		8.4     	0.103679	3e-06
43		8.6     	0.107902	2e-06
44		8.8     	0.112125	1e-06
45		9.0     	0.116389	1e-06
