cards unseen: 208
running count	true count	EV		frequency
-46		-11.5   	-0.32538	1e-06
-45		-11.25  	-0.31993	1e-06
-44		-11.0   	-0.31452	1e-06
-43		-10.75  	-0.30906	2e-06
-42		-10.5   	-0.30361	4e-06
-41		-10.25  	-0.29816	6e-06
-40		-10.0   	-0.29275	9e-06
-39		-9.75   	-0.28729	1.3e-05
-38		-9.5    	-0.28188	2e-05
-37		-9.25   	-0.27643	3.1e-05
-36		-9.0    	-0.27102	4.5e-05
-35		-8.75   	-0.26556	6.6e-05
-34		-8.5    	-0.26015	9.5e-05
-33		-8.25   	-0.25474	0.000136
-32		-8.0    	-0.24929	0.000192
-31		-7.75   	-0.24387	0.000268
-30		-7.5    	-0.23846	0.00037
-29		-7.25   	-0.23305	0.000506
-28		-7.0    	-0.22760	0.000683
-27		-6.75   	-0.22218	0.000912
-26		-6.5    	-0.21677	0.001205
-25		-6.25   	-0.21136	0.001575
-24		-6.0    	-0.20595	0.002036
-23		-5.75   	-0.2005 	0.002603
-22		-5.5    	-0.19508	0.003293
-21		-5.25   	-0.18967	0.004122
-20		-5.0    	-0.18426	0.005105
-19		-4.75   	-0.17885	0.006255
-18		-4.5    	-0.17344	0.007583
-17		-4.25   	-0.16802	0.009096
-16		-4.0    	-0.16261	0.010796
-15		-3.75   	-0.15720	0.01268
-14		-3.5    	-0.15175	0.014737
-13		-3.25   	-0.14633	0.01695
-12		-3.0    	-0.14092	0.019292
-11		-2.75   	-0.13551	0.02173
-10		-2.5    	-0.13010	0.024222
-9		-2.25   	-0.12469	0.026721
-8		-2.0    	-0.11927	0.029173
-7		-1.75   	-0.11390	0.031523
-6		-1.5    	-0.10849	0.03371
-5		-1.25   	-0.10308	0.035679
-4		-1.0    	-0.09767	0.037374
-3		-0.75   	-0.09226	0.038748
-2		-0.5    	-0.08684	0.03976
-1		-0.25   	-0.08143	0.04038
0		0.0     	-0.07606	0.040588
1		0.25    	-0.07065	0.04038
2		0.5     	-0.06524	0.03976
3		0.75    	-0.05982	0.038748
4		1.0     	-0.05445	0.037374
5		1.25    	-0.04904	0.035679
6		1.5     	-0.04367	0.03371
7		1.75    	-0.03826	0.031523
8		2.0     	-0.03289	0.029173
9		2.25    	-0.02748	0.026721
10		2.5     	-0.02210	0.024222
11		2.75    	-0.01673	0.02173
12		3.0     	-0.01132	0.019292
13		3.25    	-0.00595	0.01695
14		3.5     	-0.00058	0.014737
15		3.75    	0.004787	0.01268
16		4.0     	0.010158	0.010796
17		4.25    	0.015529	0.009096
18		4.5     	0.0209  	0.007583
19		4.75    	0.02623 	0.006255
20		5.0     	0.031601	0.005105
21		5.25    	0.036972	0.004122
22		5.5     	0.042302	0.003293
23		5.75    	0.047673	0.002603
24		6.0     	0.053003	0.002036
25		6.25    	0.058333	0.001575
26		6.5     	0.063663	0.001205
27		6.75    	0.068993	0.000912
28		7.0     	0.074323	0.000683
29		7.25    	0.079653	0.000506
30		7.5     	0.084983	0.00037
31		7.75    	0.090272	0.000268
32		8.0     	0.095561	0.000192
33		8.25    	0.100891	0.000136
34		8.5     	0.10618 	9.5e-05
35		8.75    	0.111469	6.6e-05
36		9.0     	0.116758	4.5e-05
37		9.25    	0.122006	3.1e-05
38		9.5     	0.127295	2e-05
39		9.75    	0.132543	1.3e-05
40		10.0    	0.137832	9e-06
41		10.25   	0.14308 	6e-06
42		10.5    	0.148328	4e-06
43		10.75   	0.153535	2e-06
44		11.0    	0.158783	1e-06
45		11.25   	0.16399 	1e-06
46		11.5    	0.169197	1e-06
