cards unseen: 312
running count	true count	EV		frequency
-38		-6.3333 	-0.21800	1e-06
-37		-6.1667 	-0.21403	1e-06
-36		-6.0    	-0.21001	2e-06
-35		-5.8333 	-0.20607	4e-06
-34		-5.6667 	-0.20214	7e-06
-33		-5.5    	-0.19824	1.3e-05
-32		-5.3333 	-0.19435	2.1e-05
-31		-5.1667 	-0.19045	3.6e-05
-30		-5.0    	-0.18660	5.8e-05
-29		-4.8333 	-0.18278	9.3e-05
-28		-4.6667 	-0.17893	0.000146
-27		-4.5    	-0.17516	0.000224
-26		-4.3333 	-0.17134	0.000339
-25		-4.1667 	-0.16757	0.000502
-24		-4.0    	-0.16380	0.000731
-23		-3.8333 	-0.16007	0.001046
-22		-3.6667 	-0.15630	0.001469
-21		-3.5    	-0.15257	0.002029
-20		-3.3333 	-0.14888	0.002754
-19		-3.1667 	-0.14515	0.003676
-18		-3.0    	-0.14146	0.004826
-17		-2.8333 	-0.13777	0.006232
-16		-2.6667 	-0.13408	0.007919
-15		-2.5    	-0.13039	0.009904
-14		-2.3333 	-0.12674	0.012193
-13		-2.1667 	-0.12305	0.014778
-12		-2.0    	-0.11940	0.017638
-11		-1.8333 	-0.11575	0.020733
-10		-1.6667 	-0.11210	0.024006
-9		-1.5    	-0.10849	0.027386
-8		-1.3333 	-0.10484	0.030783
-7		-1.1667 	-0.10123	0.0341
-6		-1.0    	-0.09759	0.03723
-5		-0.8333 	-0.09398	0.040069
-4		-0.6667 	-0.09037	0.042514
-3		-0.5    	-0.08676	0.044476
-2		-0.3333 	-0.08315	0.045882
-1		-0.1667 	-0.07959	0.046678
0		0.0     	-0.07598	0.046838
1		0.1667  	-0.07237	0.046358
2		0.3333  	-0.06880	0.045263
3		0.5     	-0.0652 	0.0436
4		0.6667  	-0.06163	0.041437
5		0.8333  	-0.05806	0.038858
6		1.0     	-0.05449	0.035959
7		1.1667  	-0.05089	0.032839
8		1.3333  	-0.04732	0.029598
9		1.5     	-0.04375	0.026329
10		1.6667  	-0.04019	0.023118
11		1.8333  	-0.03662	0.020037
12		2.0     	-0.03305	0.017143
13		2.1667  	-0.02953	0.01448
14		2.3333  	-0.02596	0.012074
15		2.5     	-0.02239	0.00994
16		2.6667  	-0.01882	0.00808
17		2.8333  	-0.01530	0.006484
18		3.0     	-0.01173	0.005138
19		3.1667  	-0.00816	0.00402
20		3.3333  	-0.00464	0.003106
21		3.5     	-0.00107	0.00237
22		3.6667  	0.002491	0.001785
23		3.8333  	0.006017	0.001328
24		4.0     	0.009584	0.000976
25		4.1667  	0.01311 	0.000708
26		4.3333  	0.016677	0.000507
27		4.5     	0.020203	0.000359
28		4.6667  	0.02377 	0.000251
29		4.8333  	0.027296	0.000173
30		5.0     	0.030863	0.000118
31		5.1667  	0.034389	7.9e-05
32		5.3333  	0.037956	5.3e-05
33		5.5     	0.041482	3.5e-05
34		5.6667  	0.045049	2.2e-05
35		5.8333  	0.048575	1.4e-05
36		6.0     	0.052101	9e-06
37		6.1667  	0.055668	6e-06
38		6.3333  	0.059194	3e-06
39		6.5     	0.062761	2e-06
40		6.6667  	0.066287	1e-06
41		6.8333  	0.069854	1e-06
