cards unseen: 234
running count	true count	EV		frequency
-45		-10.0   	-0.29463	1e-06
-44		-9.7778 	-0.28967	1e-06
-43		-9.5556 	-0.28471	2e-06
-42		-9.3333 	-0.27979	3e-06
-41		-9.1111 	-0.27483	4e-06
-40		-8.8889 	-0.26991	7e-06
-39		-8.6667 	-0.26499	1.1e-05
-38		-8.4444 	-0.26007	1.6e-05
-37		-8.2222 	-0.25515	2.5e-05
-36		-8.0    	-0.25027	3.7e-05
-35		-7.7778 	-0.24535	5.5e-05
-34		-7.5556 	-0.24047	8.1e-05
-33		-7.3333 	-0.23555	0.000117
-32		-7.1111 	-0.23067	0.000167
-31		-6.8889 	-0.22579	0.000237
-30		-6.6667 	-0.22091	0.00033
-29		-6.4444 	-0.21603	0.000456
-28		-6.2222 	-0.21120	0.000623
-27		-6.0    	-0.20632	0.00084
-26		-5.7778 	-0.20148	0.00112
-25		-5.5556 	-0.19660	0.001476
-24		-5.3333 	-0.19176	0.001923
-23		-5.1111 	-0.18688	0.002477
-22		-4.8889 	-0.18205	0.003156
-21		-4.6667 	-0.17721	0.003975
-20		-4.4444 	-0.17237	0.004951
-19		-4.2222 	-0.16753	0.006098
-18		-4.0    	-0.16269	0.007429
-17		-3.7778 	-0.15786	0.00895
-16		-3.5556 	-0.15302	0.010666
-15		-3.3333 	-0.14822	0.012573
-14		-3.1111 	-0.14338	0.014659
-13		-2.8889 	-0.13854	0.016908
-12		-2.6667 	-0.13375	0.019292
-11		-2.4444 	-0.12891	0.021777
-10		-2.2222 	-0.12411	0.024319
-9		-2.0    	-0.11927	0.026869
-8		-1.7778 	-0.11448	0.029371
-7		-1.5556 	-0.10964	0.031766
-6		-1.3333 	-0.10484	0.033994
-5		-1.1111 	-0.10005	0.035995
-4		-0.8889 	-0.09525	0.037713
-3		-0.6667 	-0.09041	0.039099
-2		-0.4444 	-0.08561	0.040112
-1		-0.2222 	-0.08082	0.040721
0		0.0     	-0.07602	0.040908
1		0.2222  	-0.07122	0.040668
2		0.4444  	-0.06643	0.040008
3		0.6667  	-0.06163	0.03895
4		0.8889  	-0.05683	0.037526
5		1.1111  	-0.05203	0.035779
6		1.3333  	-0.04728	0.033759
7		1.5556  	-0.04248	0.031524
8		1.7778  	-0.03768	0.029131
9		2.0     	-0.03293	0.026641
10		2.2222  	-0.02813	0.024111
11		2.4444  	-0.02333	0.021595
12		2.6667  	-0.01858	0.019141
13		2.8889  	-0.01378	0.016789
14		3.1111  	-0.00903	0.014574
15		3.3333  	-0.00427	0.012519
16		3.5556  	0.000523	0.010643
17		3.7778  	0.005279	0.008953
18		4.0     	0.010035	0.007453
19		4.2222  	0.014791	0.006139
20		4.4444  	0.019588	0.005004
21		4.6667  	0.024344	0.004036
22		4.8889  	0.0291  	0.003221
23		5.1111  	0.033856	0.002544
24		5.3333  	0.038571	0.001988
25		5.5556  	0.043327	0.001537
26		5.7778  	0.048083	0.001175
27		6.0     	0.052839	0.000889
28		6.2222  	0.057554	0.000666
29		6.4444  	0.06231 	0.000493
30		6.6667  	0.067025	0.000361
31		6.8889  	0.071781	0.000262
32		7.1111  	0.076496	0.000188
33		7.3333  	0.081211	0.000133
34		7.5556  	0.085967	9.3e-05
35		7.7778  	0.090682	6.5e-05
36		8.0     	0.095397	4.4e-05
37		8.2222  	0.100112	3e-05
38		8.4444  	0.104786	2e-05
39		8.6667  	0.109501	1.3e-05
40		8.8889  	0.114216	9e-06
41		9.1111  	0.118931	6e-06
42		9.3333  	0.123605	4e-06
43		9.5556  	0.128279	2e-06
44		9.7778  	0.132994	1e-06
45		10.0    	0.137668	1e-06
46		10.2222 	0.142342	1e-06
