cards unseen: 78
running count	true count	EV		frequency
-38		-25.3333	-0.58048	1e-06
-37		-24.6667	-0.56937	1e-06
-36		-24.0   	-0.55810	2e-06
-35		-23.3333	-0.54666	3e-06
-34		-22.6667	-0.53510	5e-06
-33		-22.0   	-0.52337	9e-06
-32		-21.3333	-0.51152	1.5e-05
-31		-20.6667	-0.49951	2.4e-05
-30		-20.0   	-0.48737	3.9e-05
-29		-19.3333	-0.47511	6.2e-05
-28		-18.6667	-0.46273	9.6e-05
-27		-18.0   	-0.45019	0.000147
-26		-17.3333	-0.43752	0.000222
-25		-16.6667	-0.42477	0.00033
-24		-16.0   	-0.41185	0.000485
-23		-15.3333	-0.39885	0.0007
-22		-14.6667	-0.38569	0.000998
-21		-14.0   	-0.37245	0.0014
-20		-13.3333	-0.35912	0.001936
-19		-12.6667	-0.34568	0.002638
-18		-12.0   	-0.33211	0.003543
-17		-11.3333	-0.31849	0.004686
-16		-10.6667	-0.30476	0.006107
-15		-10.0   	-0.29094	0.007841
-14		-9.3333 	-0.27700	0.009917
-13		-8.6667 	-0.26302	0.012353
-12		-8.0    	-0.24900	0.015157
-11		-7.3333 	-0.23485	0.018314
-10		-6.6667 	-0.22067	0.021791
-9		-6.0    	-0.20640	0.025531
-8		-5.3333 	-0.19209	0.02945
-7		-4.6667 	-0.17774	0.033442
-6		-4.0    	-0.16335	0.037379
-5		-3.3333 	-0.14892	0.041121
-4		-2.6667 	-0.13444	0.044517
-3		-2.0    	-0.11993	0.04742
-2		-1.3333 	-0.10542	0.049693
-1		-0.6667 	-0.09086	0.051225
0		0.0     	-0.07631	0.051931
1		0.6667  	-0.06175	0.05177
2		1.3333  	-0.04720	0.050738
3		2.0     	-0.03264	0.04888
4		2.6667  	-0.01809	0.046278
5		3.3333  	-0.00353	0.04305
6		4.0     	0.010937	0.039339
7		4.6667  	0.025451	0.035304
8		5.3333  	0.039883	0.031108
9		6.0     	0.054274	0.026906
10		6.6667  	0.068624	0.022836
11		7.3333  	0.082933	0.019014
12		8.0     	0.097201	0.015527
13		8.6667  	0.111387	0.01243
14		9.3333  	0.125491	0.009752
15		10.0    	0.139513	0.007496
16		10.6667 	0.153494	0.005643
17		11.3333 	0.167352	0.004158
18		12.0    	0.181169	0.002998
19		12.6667 	0.194863	0.002114
20		13.3333 	0.208434	0.001457
21		14.0    	0.221964	0.000981
22		14.6667 	0.235371	0.000645
23		15.3333 	0.248655	0.000414
24		16.0    	0.261857	0.000259
25		16.6667 	0.274977	0.000158
26		17.3333 	0.288015	9.4e-05
27		18.0    	0.30093 	5.4e-05
28		18.6667 	0.313763	3.1e-05
29		19.3333 	0.326555	1.7e-05
30		20.0    	0.339265	9e-06
31		20.6667 	0.351975	5e-06
32		21.3333 	0.364603	2e-06
33		22.0    	0.377272	1e-06
34		22.6667 	0.389982	1e-06
