cards unseen: 286
running count	true count	EV		frequency
-41		-7.4545 	-0.24158	1e-06
-40		-7.2727 	-0.23731	1e-06
-39		-7.0909 	-0.23309	2e-06
-38		-6.9091 	-0.22887	4e-06
-37		-6.7273 	-0.22469	6e-06
-36		-6.5455 	-0.22050	1e-05
-35		-6.3636 	-0.21632	1.7e-05
-34		-6.1818 	-0.21218	2.7e-05
-33		-6.0    	-0.20804	4.2e-05
-32		-5.8182 	-0.20390	6.5e-05
-31		-5.6364 	-0.19980	9.9e-05
-30		-5.4545 	-0.19570	0.000149
-29		-5.2727 	-0.19160	0.00022
-28		-5.0909 	-0.18750	0.00032
-27		-4.9091 	-0.18344	0.000459
-26		-4.7273 	-0.17938	0.000648
-25		-4.5455 	-0.17532	0.000902
-24		-4.3636 	-0.17126	0.001238
-23		-4.1818 	-0.16724	0.001673
-22		-4.0    	-0.16323	0.002231
-21		-3.8182 	-0.15921	0.002932
-20		-3.6364 	-0.15519	0.0038
-19		-3.4545 	-0.15117	0.004859
-18		-3.2727 	-0.14715	0.006128
-17		-3.0909 	-0.14318	0.007625
-16		-2.9091 	-0.13920	0.009361
-15		-2.7273 	-0.13522	0.011341
-14		-2.5455 	-0.13125	0.01356
-13		-2.3636 	-0.12727	0.016003
-12		-2.1818 	-0.12329	0.018643
-11		-2.0    	-0.11932	0.021441
-10		-1.8182 	-0.11538	0.024347
-9		-1.6364 	-0.11140	0.027298
-8		-1.4545 	-0.10747	0.030223
-7		-1.2727 	-0.10353	0.033047
-6		-1.0909 	-0.09955	0.035688
-5		-0.9091 	-0.09562	0.038066
-4		-0.7273 	-0.09168	0.040107
-3		-0.5455 	-0.08779	0.041745
-2		-0.3636 	-0.08385	0.042924
-1		-0.1818 	-0.07991	0.043607
0		0.0     	-0.07598	0.04377
1		0.1818  	-0.07208	0.043411
2		0.3636  	-0.06815	0.042544
3		0.5455  	-0.06425	0.041202
4		0.7273  	-0.06032	0.039433
5		0.9091  	-0.05642	0.037298
6		1.0909  	-0.05253	0.034866
7		1.2727  	-0.04859	0.032214
8		1.4545  	-0.0447 	0.029417
9		1.6364  	-0.04080	0.026553
10		1.8182  	-0.03691	0.023691
11		2.0     	-0.03301	0.020894
12		2.1818  	-0.02912	0.018216
13		2.3636  	-0.02522	0.015699
14		2.5455  	-0.02133	0.013375
15		2.7273  	-0.01743	0.011265
16		2.9091  	-0.01354	0.009379
17		3.0909  	-0.00964	0.007721
18		3.2727  	-0.00575	0.006283
19		3.4545  	-0.00189	0.005055
20		3.6364  	0.001999	0.00402
21		3.8182  	0.005894	0.003161
22		4.0     	0.009789	0.002458
23		4.1818  	0.013643	0.001889
24		4.3636  	0.017538	0.001436
25		4.5455  	0.021392	0.001078
26		4.7273  	0.025287	0.000801
27		4.9091  	0.029182	0.000588
28		5.0909  	0.033036	0.000427
29		5.2727  	0.036931	0.000306
30		5.4545  	0.040785	0.000217
31		5.6364  	0.04468 	0.000153
32		5.8182  	0.048534	0.000106
33		6.0     	0.052388	7.2e-05
34		6.1818  	0.056283	4.9e-05
35		6.3636  	0.060137	3.3e-05
36		6.5455  	0.064032	2.2e-05
37		6.7273  	0.067886	1.4e-05
38		6.9091  	0.07174 	9e-06
39		7.0909  	0.075635	6e-06
40		7.2727  	0.079489	4e-06
41		7.4545  	0.083343	2e-06
42		7.6364  	0.087238	1e-06
43		7.8182  	0.091092	1e-06
44		8.0     	0.094946	1e-06
