cards unseen: 52
running count	true count	EV		frequency
-33		-33.0   	-0.69541	1e-06
-32		-32.0   	-0.68171	1e-06
-31		-31.0   	-0.66765	2e-06
-30		-30.0   	-0.65322	4e-06
-29		-29.0   	-0.63838	8e-06
-28		-28.0   	-0.62321	1.4e-05
-27		-27.0   	-0.60767	2.4e-05
-26		-26.0   	-0.59172	4.1e-05
-25		-25.0   	-0.57544	6.9e-05
-24		-24.0   	-0.55884	0.000115
-23		-23.0   	-0.54182	0.000187
-22		-22.0   	-0.52452	0.000299
-21		-21.0   	-0.50685	0.000468
-20		-20.0   	-0.48885	0.000721
-19		-19.0   	-0.47052	0.001089
-18		-18.0   	-0.45187	0.001612
-17		-17.0   	-0.43292	0.002343
-16		-16.0   	-0.41365	0.003339
-15		-15.0   	-0.39414	0.004667
-14		-14.0   	-0.37434	0.006397
-13		-13.0   	-0.35429	0.008598
-12		-12.0   	-0.33395	0.011328
-11		-11.0   	-0.31341	0.014629
-10		-10.0   	-0.29262	0.018516
-9		-9.0    	-0.27167	0.022962
-8		-8.0    	-0.25047	0.027896
-7		-7.0    	-0.22915	0.033192
-6		-6.0    	-0.20767	0.038672
-5		-5.0    	-0.18602	0.044107
-4		-4.0    	-0.16425	0.049233
-3		-3.0    	-0.14240	0.053765
-2		-2.0    	-0.12046	0.057427
-1		-1.0    	-0.09849	0.059972
0		0.0     	-0.07647	0.061213
1		1.0     	-0.05441	0.061041
2		2.0     	-0.0324 	0.059444
3		3.0     	-0.01038	0.056506
4		4.0     	0.011593	0.052406
5		5.0     	0.033446	0.047396
6		6.0     	0.055217	0.041776
7		7.0     	0.076865	0.035865
8		8.0     	0.09839 	0.02997
9		9.0     	0.119751	0.02436
10		10.0    	0.140907	0.019245
11		11.0    	0.161817	0.014766
12		12.0    	0.182563	0.010992
13		13.0    	0.203022	0.007932
14		14.0    	0.223276	0.005543
15		15.0    	0.243243	0.003747
16		16.0    	0.262964	0.002447
17		17.0    	0.282398	0.001541
18		18.0    	0.301627	0.000936
19		19.0    	0.320651	0.000546
20		20.0    	0.339511	0.000306
21		21.0    	0.358248	0.000165
22		22.0    	0.376944	8.5e-05
23		23.0    	0.395722	4.2e-05
24		24.0    	0.414705	1.9e-05
25		25.0    	0.434057	9e-06
26		26.0    	0.453983	4e-06
27		27.0    	0.47477 	1e-06
28		28.0    	0.496623	1e-06
