cards unseen: 156
running count	true count	EV		frequency
-45		-15.0   	-0.39484	1e-06
-44		-14.6667	-0.38803	1e-06
-43		-14.3333	-0.38114	2e-06
-42		-14.0   	-0.37429	3e-06
-41		-13.6667	-0.36741	4e-06
-40		-13.3333	-0.36052	7e-06
-39		-13.0   	-0.35359	1e-05
-38		-12.6667	-0.34666	1.6e-05
-37		-12.3333	-0.33973	2.4e-05
-36		-12.0   	-0.33276	3.5e-05
-35		-11.6667	-0.32579	5.2e-05
-34		-11.3333	-0.31882	7.6e-05
-33		-11.0   	-0.31181	0.00011
-32		-10.6667	-0.30484	0.000156
-31		-10.3333	-0.29779	0.00022
-30		-10.0   	-0.29078	0.000306
-29		-9.6667 	-0.28373	0.000422
-28		-9.3333 	-0.27667	0.000576
-27		-9.0    	-0.26962	0.000776
-26		-8.6667 	-0.26253	0.001036
-25		-8.3333 	-0.25548	0.001366
-24		-8.0    	-0.24838	0.001784
-23		-7.6667 	-0.24125	0.002303
-22		-7.3333 	-0.23416	0.002942
-21		-7.0    	-0.22702	0.003718
-20		-6.6667 	-0.21989	0.004648
-19		-6.3333 	-0.21275	0.005748
-18		-6.0    	-0.20562	0.007033
-17		-5.6667 	-0.19845	0.008512
-16		-5.3333 	-0.19131	0.010192
-15		-5.0    	-0.18414	0.012073
-14		-4.6667 	-0.17696	0.014149
-13		-4.3333 	-0.16979	0.016403
-12		-4.0    	-0.16261	0.018813
-11		-3.6667 	-0.1554 	0.021346
-10		-3.3333 	-0.14822	0.02396
-9		-3.0    	-0.14100	0.026606
-8		-2.6667 	-0.13383	0.029226
-7		-2.3333 	-0.12661	0.031759
-6		-2.0    	-0.11940	0.03414
-5		-1.6667 	-0.11218	0.036303
-4		-1.3333 	-0.10497	0.038186
-3		-1.0    	-0.09775	0.039731
-2		-0.6667 	-0.09053	0.040891
-1		-0.3333 	-0.08332	0.041627
0		0.0     	-0.07610	0.041914
1		0.3333  	-0.06889	0.041742
2		0.6667  	-0.06167	0.041115
3		1.0     	-0.05445	0.040052
4		1.3333  	-0.04724	0.038586
5		1.6667  	-0.04002	0.036762
6		2.0     	-0.03281	0.034636
7		2.3333  	-0.02559	0.032268
8		2.6667  	-0.01841	0.029726
9		3.0     	-0.01120	0.027077
10		3.3333  	-0.00402	0.024385
11		3.6667  	0.003188	0.021712
12		4.0     	0.010363	0.019112
13		4.3333  	0.017538	0.01663
14		4.6667  	0.024713	0.014304
15		5.0     	0.031888	0.012161
16		5.3333  	0.039063	0.010219
17		5.6667  	0.046197	0.008486
18		6.0     	0.053331	0.006965
19		6.3333  	0.060465	0.005648
20		6.6667  	0.067599	0.004526
21		7.0     	0.074733	0.003583
22		7.3333  	0.081826	0.002802
23		7.6667  	0.088919	0.002165
24		8.0     	0.096012	0.001652
25		8.3333  	0.103064	0.001245
26		8.6667  	0.110116	0.000927
27		9.0     	0.117168	0.000681
28		9.3333  	0.12422 	0.000494
29		9.6667  	0.131231	0.000354
30		10.0    	0.138201	0.00025
31		10.3333 	0.145212	0.000175
32		10.6667 	0.152182	0.00012
33		11.0    	0.159111	8.2e-05
34		11.3333 	0.166081	5.5e-05
35		11.6667 	0.172969	3.6e-05
36		12.0    	0.179898	2.4e-05
37		12.3333 	0.186786	1.5e-05
38		12.6667 	0.193633	1e-05
39		13.0    	0.20048 	6e-06
40		13.3333 	0.207286	4e-06
41		13.6667 	0.214092	2e-06
42		14.0    	0.220898	1e-06
43		14.3333 	0.227663	1e-06
